date,product_type_l,production_units,liters_produced,production_start_time,production_end_time,efficiency,gallons_per_hour,monitored_time_dec,operation_time_dec,pause_time_dec,start_clock,end_clock,production_start_ts,production_end_ts
2022-07-22,3,2849,8547,11:58:03.777000,20:46:54.717000,0.5745132353469528,562.6158642599534,8.814149999999993,5.063845833333339,3.7503041666666532,11:58:03.777000,20:46:54.717000,2022-07-22 11:58:03,2022-07-22 20:46:54
2022-07-26,3,2243,6729,13:17:44.820000,17:47:45.573000,0.4046376115974337,1231.7719925179722,4.500209166666661,1.8209538888888752,2.6792552777777856,13:17:44.820000,17:47:45.573000,2022-07-26 13:17:44,2022-07-26 17:47:45
2022-08-01,3,754,2262,14:32:36.009000,17:33:58.169000,0.26910944150793603,926.8934318413711,3.0228222222222203,0.8134699999999998,2.20935222222222,14:32:36.009000,17:33:58.169000,2022-08-01 14:32:36,2022-08-01 17:33:58
2022-08-04,3,1090,3270,10:33:05.978000,16:00:04.356000,0.4212542953347112,474.8118600355313,5.4495494444444414,2.2956461111111097,3.1539033333333313,10:33:05.978000,16:00:04.356000,2022-08-04 10:33:05,2022-08-04 16:00:04
2022-09-02,5,907,4535,11:45:06,16:45:22.748000,0.2879542967465605,629.3754818812649,5.004652222222218,1.44111111111111,3.5635411111111077,11:45:06,16:45:22.748000,2022-09-02 11:45:06,2022-09-02 16:45:22
2022-09-06,3,1262,3786,14:02:58.287000,17:35:58.878000,0.7334178834140013,484.68482577611667,3.5501641666666615,2.6037538888888943,0.9464102777777671,14:02:58.287000,17:35:58.878000,2022-09-06 14:02:58,2022-09-06 17:35:58
2022-09-08,5,907,4535,10:24:19.220000,15:55:20.145000,0.23950233939255117,686.4367976541905,5.516923611111108,1.3213161111111116,4.195607499999997,10:24:19.220000,15:55:20.145000,2022-09-08 10:24:19,2022-09-08 15:55:20
2022-09-12,5,892,4460,13:34:01.959000,17:09:14.843000,0.3780342950498129,657.8288329868211,3.586912222222221,1.355975833333335,2.230936388888886,13:34:01.959000,17:09:14.843000,2022-09-12 13:34:01,2022-09-12 17:09:14
2022-09-15,3,1942,5826,10:16:01.432000,16:25:17.450000,0.492191421761799,641.1002950755991,6.154449444444441,3.029167222222223,3.125282222222218,10:16:01.432000,16:25:17.450000,2022-09-15 10:16:01,2022-09-15 16:25:17
2022-09-20,5,780,3900,10:15:10.371000,14:44:55.930000,0.21787681228680503,796.2663953462642,4.495988611111108,0.9795716666666681,3.51641694444444,10:15:10.371000,14:44:55.930000,2022-09-20 10:15:10,2022-09-20 14:44:55
2022-09-22,3,1501,4503,11:00:22.401000,16:37:20.717000,0.4774198306129945,559.8062703150703,5.616198888888886,2.6812847222222196,2.934914166666666,11:00:22.401000,16:37:20.717000,2022-09-22 11:00:22,2022-09-22 16:37:20
2022-09-28,5,406,2030,14:41:58.573000,15:44:43.748000,0.6971675951317001,556.8089089425425,1.0458819444444458,0.7291550000000008,0.31672694444444516,14:41:58.573000,15:44:43.748000,2022-09-28 14:41:58,2022-09-28 15:44:43
2022-09-28,3,146,438,17:53:44.090000,18:30:44.216000,0.3648657778882787,648.8504384925402,0.6167016666666663,0.22501333333333112,0.39168833333333514,17:53:44.090000,18:30:44.216000,2022-09-28 17:53:44,2022-09-28 18:30:44
