date,hour_start,hour_end,production_gallons,timestamp_start,timestamp_end
2022-07-22,11,12,3,2022-07-22 11:00:00,2022-07-22 12:00:00
2022-07-22,12,13,425,2022-07-22 12:00:00,2022-07-22 13:00:00
2022-07-22,13,14,6,2022-07-22 13:00:00,2022-07-22 14:00:00
2022-07-22,14,15,0,2022-07-22 14:00:00,2022-07-22 15:00:00
2022-07-22,15,16,490,2022-07-22 15:00:00,2022-07-22 16:00:00
2022-07-22,16,17,673,2022-07-22 16:00:00,2022-07-22 17:00:00
2022-07-22,17,18,669,2022-07-22 17:00:00,2022-07-22 18:00:00
2022-07-22,18,19,452,2022-07-22 18:00:00,2022-07-22 19:00:00
2022-07-22,19,20,2,2022-07-22 19:00:00,2022-07-22 20:00:00
2022-07-22,20,21,129,2022-07-22 20:00:00,2022-07-22 21:00:00
2022-07-26,9,10,21,2022-07-26 09:00:00,2022-07-26 10:00:00
2022-07-26,10,11,8,2022-07-26 10:00:00,2022-07-26 11:00:00
2022-07-26,11,12,0,2022-07-26 11:00:00,2022-07-26 12:00:00
2022-07-26,12,13,1,2022-07-26 12:00:00,2022-07-26 13:00:00
2022-07-26,13,14,263,2022-07-26 13:00:00,2022-07-26 14:00:00
2022-07-26,14,15,160,2022-07-26 14:00:00,2022-07-26 15:00:00
2022-07-26,15,16,568,2022-07-26 15:00:00,2022-07-26 16:00:00
2022-07-26,16,17,670,2022-07-26 16:00:00,2022-07-26 17:00:00
2022-07-26,17,18,540,2022-07-26 17:00:00,2022-07-26 18:00:00
2022-07-26,18,19,12,2022-07-26 18:00:00,2022-07-26 19:00:00
2022-08-01,14,15,168,2022-08-01 14:00:00,2022-08-01 15:00:00
2022-08-01,15,16,40,2022-08-01 15:00:00,2022-08-01 16:00:00
2022-08-01,16,17,243,2022-08-01 16:00:00,2022-08-01 17:00:00
2022-08-01,17,18,303,2022-08-01 17:00:00,2022-08-01 18:00:00
2022-08-04,10,11,221,2022-08-04 10:00:00,2022-08-04 11:00:00
2022-08-04,11,12,445,2022-08-04 11:00:00,2022-08-04 12:00:00
2022-08-04,12,13,108,2022-08-04 12:00:00,2022-08-04 13:00:00
2022-08-04,15,16,170,2022-08-04 15:00:00,2022-08-04 16:00:00
2022-08-04,16,17,146,2022-08-04 16:00:00,2022-08-04 17:00:00
2022-09-02,11,12,84,2022-09-02 11:00:00,2022-09-02 12:00:00
2022-09-02,12,13,96,2022-09-02 12:00:00,2022-09-02 13:00:00
2022-09-02,13,14,1,2022-09-02 13:00:00,2022-09-02 14:00:00
2022-09-02,14,15,193,2022-09-02 14:00:00,2022-09-02 15:00:00
2022-09-02,15,16,294,2022-09-02 15:00:00,2022-09-02 16:00:00
2022-09-02,16,17,239,2022-09-02 16:00:00,2022-09-02 17:00:00
2022-09-06,14,15,120,2022-09-06 14:00:00,2022-09-06 15:00:00
2022-09-06,15,16,383,2022-09-06 15:00:00,2022-09-06 16:00:00
2022-09-06,16,17,447,2022-09-06 16:00:00,2022-09-06 17:00:00
