downtime_duration_sec,is_burst
315.0,
120.0,False
90.0,False
150.0,False
75.0,True
210.0,True
450.0,False
180.0,True
75.0,True
225.0,False
153.0,True
120.0,True
90.0,True
150.0,True
120.0,True
60.0,True
90.0,True
645.0,True
210.0,False
360.0,True
75.0,True
30.0,True
105.0,True
210.0,True
30.0,True
135.0,True
75.0,True
30.0,True
30.0,True
45.0,True
75.0,False
120.0,True
60.0,True
135.0,True
90.0,False
165.0,True
3061.0,True
45.0,False
75.0,True
120.0,True
45.0,True
90.0,True
645.0,True
45.0,True
150.0,True
180.0,True
30.0,True
300.0,True
240.0,True
75.0,True
165.0,True
45.0,True
30.0,False
45.0,True
240.0,True
45.0,False
30.0,True
30.0,False
60.0,True
76.0,True
30.0,True
45.0,True
330.0,True
135.0,False
30.0,True
105.0,True
225.0,True
30.0,True
150.0,True
120.0,True
90.0,True
180.0,True
240.0,True
225.0,True
240.0,True
225.0,True
60.0,True
120.0,True
225.0,True
30.0,True
120.0,True
435.0,True
120.0,False
105.0,True
210.0,True
480.0,True
45.0,True
2055.0,True
2880.0,False
1470.0,True
10695.0,True
225.0,True
120.0,True
150.0,True
60.0,True
210.0,True
105.0,True
165.0,True
165.0,True
150.0,True
195.0,True
150.0,True
180.0,True
3270.0,False
165.0,True
30.0,True
30.0,True
60.0,True
75.0,True
90.0,True
60.0,True
150.0,False
105.0,True
135.0,True
75.0,False
105.0,True
90.0,True
120.0,True
60.0,True
195.0,True
75.0,False
105.0,True
30.0,True
45.0,True
180.0,True
165.0,True
45.0,True
105.0,True
150.0,True
45.0,True
135.0,True
75.0,True
90.0,True
255.0,True
915.0,True
90.0,True
135.0,True
315.0,True
45.0,False
120.0,False
30.0,True
1391.0,True
75.0,True
4425.0,True
30.0,True
165.0,True
165.0,True
30.0,True
465.0,True
60.0,True
105.0,False
405.0,True
150.0,False
105.0,True
1575.0,True
240.0,False
195.0,False
165.0,True
60.0,True
90.0,True
60.0,False
45.0,False
60.0,True
60.0,False
270.0,True
645.0,True
60.0,False
60.0,False
60.0,True
1365.0,True
45.0,False
45.0,True
90.0,True
180.0,True
60.0,True
90.0,True
90.0,True
179.0,True
391.0,True
7275.0,True
60.0,True
90.0,True
90.0,True
75.0,True
60.0,True
195.0,True
45.0,True
135.0,True
390.0,True
90.0,True
75.0,True
75.0,True
45.0,True
75.0,True
90.0,True
90.0,True
90.0,True
90.0,True
75.0,True
105.0,True
90.0,True
91.0,True
90.0,True
90.0,True
285.0,False
270.0,True
45.0,True
45.0,True
75.0,True
45.0,True
60.0,True
75.0,True
150.0,True
75.0,True
90.0,True
225.0,True
90.0,True
90.0,True
120.0,True
105.0,True
105.0,True
120.0,True
60.0,True
45.0,False
90.0,False
60.0,False
75.0,True
60.0,False
60.0,True
75.0,True
90.0,True
